34,33,33
33,34,33
33,33,34
34,32,34
32,34,34
34,34,32
35,33,32
32,33,35
32,35,33
33,35,32
35,32,33
33,32,35
31,34,35
35,34,31
34,35,31
34,31,35
35,31,34
31,35,34
32,32,36
36,32,32
32,36,32
30,41,29
41,31,28
39,37,24
46,23,31
19,40,41
46,35,19
34,19,47
50,27,23
48,17,35
45,14,41
25,53,22
39,47,14
22,24,54
37,13,50
55,21,24
25,20,55
19,26,55
55,27,18
43,46,11
31,15,54
22,22,56
10,42,48
13,32,55
14,30,56
23,19,58
34,55,11
59,22,19
42,50,8
42,8,50
8,40,52
11,31,58
42,6,52
10,59,31
62,19,19
5,42,53
46,50,4
64,18,18
8,31,61
18,68,14
